Kecamatan,latitude,longitude,Cluster
Asem Rowo,-7.2488,112.7014,1
Benowo,-7.2115,112.5971,1
Bubutan,-7.2464,112.7315,1
Bulak,-7.2347,112.8112,1
Dukuh Pakis,-7.2908,112.7063,1
Gayungan,-7.333,112.7291,1
Genteng,-7.2655,112.7381,2
Gubeng,-7.2825,112.7513,2
Gununganyar,-7.3543,112.7759,1
Jambangan,-7.3306,112.7175,0
Karangpilang,-7.3385,112.6549,2
Kenjeran,-7.2334,112.7896,0
Krembangan,-7.2303,112.7216,1
Lakarsantri,-7.2947,112.6392,2
Mulyorejo,-7.2901,112.7817,0
Pabean Cantian,-7.2351,112.7363,1
Pakal,-7.2244,112.6132,1
Rungkut,-7.3442,112.7767,1
Sambikerep,-7.3185,112.6163,2
Sawahan,-7.2685,112.7261,1
Semampir,-7.2275,112.7528,1
Simokerto,-7.2431,112.7583,1
Sukolilo,-7.2981,112.7875,2
Sukomanunggal,-7.2785,112.6832,1
Tambaksari,-7.2505,112.7734,1
Tandes,-7.2653,112.6735,2
Tegalsari,-7.2709,112.7367,1
Wonocolo,-7.335,112.7281,1
Wonokromo,-7.3006,112.7304,0
